City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
319,vilyuysk,63.7553,121.6247,25.28,30,81,5.3,RU,1687493863
320,kivioli,59.3531,26.9711,15.71,79,8,3.35,EE,1687493839
321,hadibu,12.65,54.0333,27.16,77,69,8.94,YE,1687493863
322,bilmak,47.3624,36.6511,17.7,56,36,0.68,UA,1687493863
323,keflavik,64.0049,-22.5624,12.95,100,100,11.83,IS,1687493863
324,coro,11.4045,-69.6734,26.5,83,63,6.56,VE,1687493598
325,kharkhorin,47.1975,102.8238,22.28,48,100,1.49,MN,1687493863
326,les cayes,18.2,-73.75,26.75,83,86,1.2,HT,1687493863
327,qamdo,31.1667,97.2333,11.13,30,71,2.71,CN,1687493863
328,villamontes,-21.25,-63.5,17.71,83,34,1.14,BO,1687493864
329,sankheda,22.1667,73.5833,31.88,57,100,5.2,IN,1687493690
330,umiray,15.2206,121.4111,30.7,61,50,1.79,PH,1687493864
331,helena valley west central,46.6629,-112.0604,18.49,48,0,2.24,US,1687493864
332,oriximina,-1.7656,-55.8661,23.01,95,61,1.7,BR,1687493864
333,ust-tsilma,65.441,52.1498,11.44,52,89,2.27,RU,1687493864
334,praya,14.9215,-23.5087,25.3,78,75,6.17,CV,1687493845
335,mostaganem,35.9311,0.0892,22.52,79,0,0.29,DZ,1687493865
336,al jawf,29.5,38.75,25.71,32,0,7.13,SA,1687493865
337,carmelo,-33.9892,-58.2856,10.09,92,47,3.77,UY,1687493178
338,saldanha,-33.0117,17.9442,13.03,93,0,9.26,ZA,1687493865
339,nantucket,41.2835,-70.0995,17.08,100,100,4.63,US,1687493291
340,papao,-17.75,-149.55,26.82,83,94,11.39,PF,1687493732
341,ulaangom,49.9811,92.0667,22.67,28,10,2.71,MN,1687493865
342,tralee,52.2704,-9.7026,15.91,98,100,2.45,IE,1687493865
343,imbituba,-28.24,-48.6703,21.03,96,100,0.71,BR,1687493865
344,sao tome,0.3365,6.7273,23.37,79,71,3.96,ST,1687493865
345,bykovo,55.6361,38.0803,14.23,72,0,4.0,RU,1687493866
346,fort st. john,56.2499,-120.8529,15.94,77,75,2.57,CA,1687493866
347,uturoa,-16.7333,-151.4333,26.55,79,75,8.17,PF,1687493866
348,senges,-24.1128,-49.4636,14.91,82,77,0.6,BR,1687493866
349,grande prairie,55.1667,-118.8027,15.1,88,100,3.09,CA,1687493774
350,baotou,40.6522,109.8222,31.63,22,99,4.43,CN,1687493866
351,chibougamau,49.9168,-74.3659,17.79,77,100,0.0,CA,1687493866
352,hassi messaoud,31.6804,6.0729,27.92,24,0,3.6,DZ,1687493866
353,el granada,37.5027,-122.4694,16.35,87,100,4.63,US,1687493866
354,selfoss,63.9331,-20.9971,12.8,97,100,6.69,IS,1687493866
355,polyarnyy,69.1989,33.4478,15.52,58,11,3.74,RU,1687493867
356,solnechnyy,50.7214,136.6319,21.4,74,100,1.37,RU,1687493867
357,laascaanood,8.4774,47.3597,22.66,67,46,11.34,SO,1687493867
358,sitka,57.0531,-135.33,16.94,72,20,5.66,US,1687493867
359,merizo village,13.2658,144.6691,31.31,82,100,7.57,GU,1687493867
360,wenling,28.3669,121.36,19.91,95,100,5.33,CN,1687493867
361,mbala,-8.8402,31.3659,11.73,85,51,3.86,ZM,1687493867
362,woods creek,47.8787,-121.8985,20.45,61,23,0.45,US,1687493867
363,quellon,-43.1167,-73.6167,9.14,93,75,1.54,CL,1687493827
